brand,name,sale,priceU,salePriceU
TONISO,Наушники беспроводные вакуумные,78,3600.0,768.0
Redragon,Игровые наушники проводные с микрофоном Hylas,59,3308.0,1356.0
Prods,Подставка для наушников,76,1930.0,451.0
JFORY,Наушники беспроводные спортивные с микрофоном,76,8517.0,2025.0
TWS3,Наушники беспроводные PRO,90,4410.0,441.0
Micron Tech - Микронаушники от производителя,Комплект магнитных микронаушников,80,1550.0,310.0
MegaDeals,"Амбушюры для airpods pro и pro 2. Набор 6 штук S, M, L",71,1429.0,414.0
,Наушники проводные с микрофоном JBL T110,64,1600.0,561.0
,Беспроводные Bluetooth наушники,79,1001.0,210.0
Havit,Беспроводные наушники TW925,18,1429.0,1171.0
brand,name,sale,priceU,salePriceU
Cosmic Bass,Наушники беспроводные для iPhone и Android,90,4990.0,499.0
Cosmic Bass,Наушники беспроводные для iPhone и Android,90,4990.0,499.0
Cosmic Bass,Наушники беспроводные для iPhone и Android,90,4990.0,499.0
world of sound,Наушники беспроводные A.Pods Pro для i.Phone Android,86,7000.0,975.0
MILDSTORE,Блютуз наушники беспроводные с шумоподавлением,90,5960.0,566.0
Xiaomi,Беспроводные наушники Xiaomi Bluetooth,88,7572.0,869.0
Redmi,Беспроводные наушники Bluetooth,88,7315.0,839.0
Aksus,Наушники беспроводные Air 2 для iPhone и Android,87,6999.0,860.0
WillStore,Наушники беспроводные APods Pro 2 копия для iPhone Android,80,11325.0,2228.0
ForyouTop,Наушники беспроводные Air 3 для IPhone Android,77,5000.0,1107.0
SIAMOI_PODS,Беспроводные наушники с чехлом,87,7100.0,873.0
нет бренда,"Чехол для Marshall Major I, II BT, III, IV",39,800.0,488.0
YNIKSTORE,Наушники беспроводные A.Pods Pro 2 для iPhone Android,81,11900.0,2146.0
Xiaomi,Наушники Redmi Buds 4 Active,34,1916.0,1256.0
Hoco,Беспроводные наушники ES62,54,1899.0,856.0
C0TTECI,Наушники беспроводные маленькие AIR 2 для Iphone и Android,59,2250.0,922.0
Е-SНОР,Наушники беспроводные APods Pro 2 копия для iPhone Android,79,9740.0,1996.0
MILDSTORE,Блютуз наушники беспроводные игровые с микрофоном для пк,90,5990.0,569.0
BSmarty,Наушники беспроводные AirSmarty Pro для айф и Android,78,4690.0,999.0
Fun Music,Беспроводные наушники Apods 3для iPhone и Android,90,9695.0,874.0
technotop,Блютуз гарнитура для телефона беспроводная для водителя,38,3224.0,1982.0
world of sound,Наушники беспроводные A.Pods Pro 2 для i.Phone Android,88,8000.0,918.0
DorGroup,Наушники беспроводные A.Pods Pro 2 для iPhone Android,79,4490.0,920.0
Margaret,Наушники беспроводные Air 2 для iPhone и Android,87,7180.0,883.0
Lux Electronics,Наушники беспроводные с микрофоном блютуз Pro,85,10000.0,1476.0
OSTAF,Наушники беспроводные A.Pods 2 для iPhone Android,77,4200.0,929.0
Clearsound,Наушники беспроводные с микрофоном для телефона,80,4408.0,867.0
Pods,Наушники беспроводные для айфона и андроид,87,5199.0,647.0
technotop,Блютуз гарнитура для телефона беспроводная для водителя,68,3920.0,1221.0
LuxAudio,Наушники Air Pro 2 type-c iPhone и Android,76,8990.0,2137.0
QCY,Беспроводные наушники T1C In2012b,55,1249.0,562.0
USHI,Наушники беспроводные сенсорные для смартфонов,86,10000.0,1312.0
ETTA High Tech,Наушники беспроводные Air 2 для iPhone и Android,86,7500.0,1045.0
OSTAF,Наушники беспроводные A.Pods Pro 2 для iPhone Android,85,6650.0,981.0
MILLIANT ONE,Наушники беспроводные большие ANC шумоподавление,63,6398.0,2360.0
нет бренда,"Амбушюры для наушников JBL T450BT, T500BT",32,400.0,272.0
Rilvex,Беспроводная Bluetooth гарнитура для телефона,71,4334.0,1243.0
LuxAudio,Наушники беспроводные Air 3 для iPhone и Android,85,8990.0,1326.0
Cosmic Bass,Наушники беспроводные для iPhone и Android,90,4990.0,499.0
Defender,"Наушники беспроводные большие, Bluetooth, microSD черный",55,1672.0,744.0
Earldom,Наушники беспроводные спортивные с микрофоном,68,2490.0,775.0
Music Power,Наушники беспроводные блютуз для iphone и andriod,91,12999.0,1065.0
Azetex,Наушники беспроводные Air 2 для iPhone и Android,79,4513.0,925.0
Cosmic Bass,Наушники беспроводные для iPhone и Android,83,4878.0,781.0
Fix6,Большие беспроводные наушники накладные,75,2521.0,628.0
Xiaomi,Наушники беспроводные pro для iphone андроид,82,3020.0,516.0
Gisma,наушники беспроводные спортивные с микрофоном для телефона,88,5800.0,671.0
Envitec,Наушники беспроводные маленькие блютуз,66,4397.0,1478.0
PRO-MICRO,Микронаушник магнитный Bluetooth,55,7905.0,3500.0
Defender,Наушники беспроводные большие ANC шумоподавление,59,3522.0,1444.0
DMS,Наушники беспроводные Air 2 для iPhone и Android,77,4063.0,932.0
BAOSHI,Наушники беспроводные блютуз игровые вакуумные с ушками,94,7500.0,450.0
Realme,Наушники Buds T100,31,2490.0,1694.0
VOLGA MARKET,"Наушники проводные для телефона 3,5 Jack",67,403.0,132.0
